order_id,product,quantity,unit_price,order_date,region,total_price
1,Tablet,1.9594594594594594,500.0,2024-01-20,South,979.7297297297297
2,Laptop,1.9594594594594594,500.0,2024-04-29,North,979.7297297297297
3,Laptop,2.0,250.0,2024-01-08,South,500.0
4,Laptop,2.0,750.0,2024-01-07,West,1500.0
5,Tablet,3.0,500.0,2024-03-07,South,1500.0
7,Monitor,2.0,750.0,2024-02-02,West,1500.0
8,Laptop,3.0,500.0,2024-02-17,South,1500.0
9,Monitor,1.9594594594594594,750.0,2024-03-16,West,1469.5945945945946
10,Monitor,1.0,500.0,2024-02-28,North,500.0
11,Monitor,3.0,750.0,2024-04-24,West,2250.0
12,Tablet,2.0,750.0,2024-03-26,East,1500.0
13,Tablet,1.0,750.0,2024-04-28,West,750.0
14,Tablet,1.0,500.0,2024-01-22,South,500.0
15,Laptop,1.0,500.0,2024-04-19,South,500.0
16,Monitor,3.0,750.0,2024-01-27,East,2250.0
17,Tablet,2.0,500.0,2024-02-07,North,1000.0
18,Tablet,1.0,250.0,2024-04-11,South,250.0
19,Laptop,1.9594594594594594,250.0,2024-04-18,South,489.86486486486484
20,Tablet,1.0,500.0,2024-02-20,South,500.0
21,Laptop,1.0,500.0,2024-02-23,South,500.0
22,Phone,3.0,750.0,2024-01-08,North,2250.0
23,Tablet,3.0,500.0,2024-01-27,West,1500.0
24,Phone,2.0,500.0,2024-01-27,South,1000.0
25,Laptop,1.9594594594594594,250.0,2024-04-07,East,489.86486486486484
26,Monitor,3.0,750.0,2024-01-21,West,2250.0
27,Tablet,1.0,500.0,2024-01-30,South,500.0
28,Laptop,2.0,250.0,2024-04-06,North,500.0
29,Monitor,1.0,250.0,2024-01-28,South,250.0
30,Monitor,1.0,500.0,2024-04-20,West,500.0
31,Phone,3.0,750.0,2024-03-04,West,2250.0
32,Laptop,2.0,750.0,2024-04-06,West,1500.0
33,Monitor,1.9594594594594594,500.0,2024-03-09,South,979.7297297297297
34,Tablet,1.9594594594594594,500.0,2024-03-01,West,979.7297297297297
35,Tablet,3.0,750.0,2024-02-17,South,2250.0
36,Phone,3.0,750.0,2024-01-19,West,2250.0
37,Monitor,2.0,500.0,2024-01-04,East,1000.0
38,Laptop,1.9594594594594594,500.0,2024-02-04,West,979.7297297297297
39,Tablet,1.9594594594594594,500.0,2024-03-04,South,979.7297297297297
40,Monitor,1.9594594594594594,500.0,2024-02-18,South,979.7297297297297
41,Monitor,1.0,250.0,2024-01-17,West,250.0
42,Phone,1.9594594594594594,500.0,2024-02-13,South,979.7297297297297
43,Tablet,1.0,500.0,2024-04-01,East,500.0
44,Tablet,2.0,250.0,2024-01-30,North,500.0
45,Laptop,1.0,500.0,2024-04-02,East,500.0
46,Tablet,2.0,250.0,2024-02-15,West,500.0
47,Laptop,1.9594594594594594,500.0,2024-04-26,South,979.7297297297297
48,Tablet,1.9594594594594594,500.0,2024-01-06,South,979.7297297297297
49,Phone,2.0,500.0,2024-04-08,South,1000.0
50,Tablet,3.0,250.0,2024-04-14,South,750.0
51,Laptop,2.0,250.0,2024-02-06,South,500.0
52,Laptop,3.0,500.0,2024-01-24,North,1500.0
53,Phone,1.0,750.0,2024-04-02,West,750.0
54,Tablet,1.0,750.0,2024-04-22,South,750.0
55,Tablet,1.0,250.0,2024-02-15,North,250.0
56,Phone,1.9594594594594594,250.0,2024-02-22,South,489.86486486486484
57,Tablet,1.0,750.0,2024-04-04,South,750.0
58,Tablet,3.0,750.0,2024-04-08,North,2250.0
59,Laptop,1.0,500.0,2024-02-29,South,500.0
60,Tablet,2.0,500.0,2024-04-06,North,1000.0
61,Tablet,2.0,750.0,2024-04-25,South,1500.0
62,Phone,1.9594594594594594,500.0,2024-03-03,South,979.7297297297297
63,Phone,2.0,500.0,2024-03-25,North,1000.0
64,Monitor,3.0,500.0,2024-02-01,South,1500.0
65,Laptop,1.0,500.0,2024-03-27,South,500.0
66,Tablet,1.9594594594594594,250.0,2024-02-02,South,489.86486486486484
67,Tablet,1.0,500.0,2024-03-07,East,500.0
68,Monitor,1.0,500.0,2024-01-18,West,500.0
69,Tablet,3.0,750.0,2024-01-25,South,2250.0
70,Laptop,2.0,250.0,2024-04-15,East,500.0
71,Monitor,2.0,500.0,2024-04-04,South,1000.0
72,Laptop,1.0,500.0,2024-02-23,North,500.0
73,Monitor,1.9594594594594594,500.0,2024-02-27,South,979.7297297297297
74,Monitor,2.0,500.0,2024-03-07,West,1000.0
75,Phone,1.9594594594594594,500.0,2024-04-13,South,979.7297297297297
76,Laptop,2.0,500.0,2024-02-15,North,1000.0
77,Tablet,1.9594594594594594,750.0,2024-01-24,West,1469.5945945945946
78,Tablet,3.0,500.0,2024-04-23,South,1500.0
79,Laptop,1.9594594594594594,500.0,2024-02-01,West,979.7297297297297
80,Tablet,3.0,250.0,2024-02-16,South,750.0
81,Tablet,3.0,750.0,2024-03-26,South,2250.0
82,Laptop,1.9594594594594594,250.0,2024-01-23,South,489.86486486486484
83,Monitor,3.0,250.0,2024-03-06,West,750.0
84,Laptop,1.0,500.0,2024-01-27,North,500.0
85,Monitor,3.0,500.0,2024-04-15,South,1500.0
86,Tablet,2.0,500.0,2024-01-02,South,1000.0
87,Tablet,1.9594594594594594,500.0,2024-03-30,South,979.7297297297297
88,Tablet,1.0,500.0,2024-01-17,South,500.0
89,Phone,1.9594594594594594,500.0,2024-04-13,West,979.7297297297297
90,Monitor,2.0,750.0,2024-02-02,South,1500.0
91,Phone,2.0,500.0,2024-01-09,West,1000.0
92,Phone,2.0,250.0,2024-02-12,South,500.0
93,Laptop,3.0,250.0,2024-04-27,South,750.0
94,Phone,3.0,500.0,2024-02-17,East,1500.0
95,Laptop,1.9594594594594594,250.0,2024-02-08,South,489.86486486486484
96,Laptop,1.9594594594594594,500.0,2024-04-02,North,979.7297297297297
97,Phone,1.0,250.0,2024-02-11,South,250.0
98,Monitor,1.0,500.0,2024-04-28,South,500.0
99,Monitor,1.9594594594594594,250.0,2024-01-26,West,489.86486486486484
100,Monitor,3.0,500.0,2024-04-08,South,1500.0
